cod_est,FECHA,T_Med,Lluvia_acum
AL008,2021-05-03T00:00:00,9.3425,3.5
AL008,2021-05-04T00:00:00,12.3400833333333,0.1
AL008,2021-05-05T00:00:00,14.144,0.1
AL008,2021-05-06T00:00:00,15.8116666666667,0
AL008,2021-05-07T00:00:00,17.6825,0
AL008,2021-05-08T00:00:00,16.347,0
AL008,2021-05-09T00:00:00,16.8416666666667,1.7
AL008,2021-05-10T00:00:00,12.2357083333333,0
AL008,2021-05-11T00:00:00,10.60025,0
AL008,2021-05-12T00:00:00,13.9305833333333,0
AL008,2021-05-13T00:00:00,15.7145833333333,0
AL008,2021-05-14T00:00:00,16.0829166666667,0
AL008,2021-05-15T00:00:00,19.5641666666667,0
AL008,2021-05-16T00:00:00,20.9891666666667,0
AL008,2021-05-17T00:00:00,18.4883333333333,0
AL008,2021-05-18T00:00:00,20.3325,0
AL008,2021-05-19T00:00:00,18.73875,0
AL008,2021-05-20T00:00:00,17.3652631578947,0.1
AL008,2021-05-21T00:00:00,19.5425,0
AL008,2021-05-22T00:00:00,19.7595833333333,0
AL008,2021-05-23T00:00:00,11.2329583333333,23.3
AL008,2021-05-24T00:00:00,14.09375,0
AL008,2021-05-25T00:00:00,14.5155,0
AL008,2021-05-26T00:00:00,14.7636363636364,0
AL008,2021-05-27T00:00:00,11.9325,3.6
AL008,2021-05-28T00:00:00,13.9966666666667,2.4
AL008,2021-05-29T00:00:00,17.28875,0.1
AL008,2021-05-30T00:00:00,17.6591666666667,0
AL008,2021-05-31T00:00:00,18.205,0.8
AL008,2021-06-01T00:00:00,16.8604166666667,2.4
AL008,2021-06-02T00:00:00,16.6608333333333,0
AL008,2021-06-03T00:00:00,17.7678260869565,0
AL008,2021-06-04T00:00:00,16.7734782608696,0.1
